Unnamed: 0,Model Year,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Fuel Efficiency City,Fuel Efficiency Highway,Fuel Efficiency Combined,Engine Group,Efficiency Ratio City,Efficiency Ratio Highway,Efficiency Ratio Combined,Emission Rate CO2 level
16,2022,2,218,3,5.2,12,3,3,16.4,10.7,13.8,20,324,3,3,0.0609756097560975,0.0934579439252336,0.072463768115942,4,0.011726078799249518,0.017972681524083385,0.013935340022296539,0.49
17,2022,2,219,8,4.0,8,4,3,16.8,11.9,14.6,19,343,3,5,0.0595238095238095,0.0840336134453781,0.0684931506849315,4,0.014880952380952375,0.021008403361344526,0.017123287671232876,0.49
18,2022,2,660,13,4.0,8,3,3,13.1,9.6,11.5,25,270,4,5,0.0763358778625954,0.1041666666666666,0.0869565217391304,4,0.01908396946564885,0.02604166666666665,0.0217391304347826,0.66
19,2022,3,56,12,2.0,4,6,2,8.5,6.6,7.6,37,178,7,7,0.1176470588235294,0.1515151515151515,0.131578947368421,1,0.0588235294117647,0.07575757575757575,0.0657894736842105,1.0
20,2022,3,57,0,2.0,4,6,3,9.1,7.0,8.2,34,190,6,5,0.1098901098901098,0.1428571428571428,0.1219512195121951,1,0.0549450549450549,0.0714285714285714,0.06097560975609755,1.0
21,2022,3,58,0,2.0,4,6,3,9.8,7.6,8.8,32,205,6,5,0.1020408163265306,0.131578947368421,0.1136363636363636,1,0.0510204081632653,0.0657894736842105,0.0568181818181818,1.0
22,2022,3,59,11,2.0,4,6,3,9.8,7.9,8.9,32,208,6,5,0.1020408163265306,0.1265822784810126,0.1123595505617977,1,0.0510204081632653,0.0632911392405063,0.05617977528089885,1.0
23,2022,3,60,12,2.0,4,6,3,10.4,7.5,9.1,31,214,5,5,0.0961538461538461,0.1333333333333333,0.1098901098901098,1,0.04807692307692305,0.06666666666666665,0.0549450549450549,0.83
24,2022,3,61,12,2.0,4,6,3,9.8,7.6,8.8,32,205,6,5,0.1020408163265306,0.131578947368421,0.1136363636363636,1,0.0510204081632653,0.0657894736842105,0.0568181818181818,1.0
25,2022,3,62,2,2.0,4,6,3,9.8,7.6,8.8,32,205,6,5,0.1020408163265306,0.131578947368421,0.1136363636363636,1,0.0510204081632653,0.0657894736842105,0.0568181818181818,1.0
26,2022,3,63,2,2.0,4,6,3,10.2,7.4,8.9,32,208,6,5,0.0980392156862745,0.1351351351351351,0.1123595505617977,1,0.04901960784313725,0.06756756756756754,0.05617977528089885,1.0
27,2022,3,64,2,3.0,6,6,3,11.1,7.8,9.6,29,224,5,5,0.0900900900900901,0.1282051282051282,0.1041666666666666,3,0.030030030030030033,0.04273504273504273,0.0347222222222222,0.83
28,2022,3,65,10,3.0,6,6,3,11.5,8.3,10.0,28,234,5,5,0.0869565217391304,0.1204819277108433,0.1,3,0.0289855072463768,0.0401606425702811,0.03333333333333333,0.83
29,2022,3,66,2,3.0,6,6,3,11.1,7.8,9.6,29,224,5,5,0.0900900900900901,0.1282051282051282,0.1041666666666666,3,0.030030030030030033,0.04273504273504273,0.0347222222222222,0.83
30,2022,3,67,1,3.0,6,12,3,12.6,8.3,10.6,27,248,5,5,0.0793650793650793,0.1204819277108433,0.0943396226415094,3,0.026455026455026436,0.0401606425702811,0.03144654088050313,0.83
31,2022,3,477,7,2.0,4,12,2,10.4,7.7,9.2,31,215,5,7,0.0961538461538461,0.1298701298701298,0.108695652173913,1,0.04807692307692305,0.0649350649350649,0.0543478260869565,0.83
32,2022,3,478,7,2.0,4,12,2,11.4,8.3,10.0,28,233,5,7,0.087719298245614,0.1204819277108433,0.1,1,0.043859649122807,0.06024096385542165,0.05,0.83
33,2022,3,479,7,2.0,4,6,3,10.3,8.1,9.3,30,217,5,5,0.0970873786407767,0.1234567901234568,0.1075268817204301,1,0.04854368932038835,0.0617283950617284,0.05376344086021505,0.83
34,2022,3,480,7,2.0,4,6,3,10.3,8.4,9.4,30,220,5,5,0.0970873786407767,0.119047619047619,0.1063829787234042,1,0.04854368932038835,0.0595238095238095,0.0531914893617021,0.83
35,2022,3,481,7,2.0,4,6,3,10.3,8.4,9.4,30,220,5,5,0.0970873786407767,0.119047619047619,0.1063829787234042,1,0.04854368932038835,0.0595238095238095,0.0531914893617021,0.83
36,2022,3,486,8,2.0,4,12,3,12.0,9.4,10.8,26,252,5,3,0.0833333333333333,0.1063829787234042,0.0925925925925925,1,0.04166666666666665,0.0531914893617021,0.04629629629629625,0.83
37,2022,3,487,8,3.0,6,12,3,12.8,10.5,11.7,24,273,4,5,0.078125,0.0952380952380952,0.0854700854700854,3,0.026041666666666668,0.03174603174603174,0.028490028490028466,0.66
38,2022,3,488,8,3.0,6,12,3,12.8,10.5,11.7,24,273,4,5,0.078125,0.0952380952380952,0.0854700854700854,3,0.026041666666666668,0.03174603174603174,0.028490028490028466,0.66
39,2022,3,499,13,5.2,10,6,3,16.7,10.3,13.8,20,322,3,1,0.059880239520958,0.0970873786407767,0.072463768115942,4,0.011515430677107308,0.018670649738610903,0.013935340022296539,0.49
40,2022,3,500,13,5.2,10,6,3,17.9,12.1,15.3,18,356,3,1,0.0558659217877095,0.0826446280991735,0.065359477124183,4,0.010743446497636443,0.01589319771137952,0.012569130216189037,0.49
41,2022,3,501,13,5.2,10,6,3,16.7,10.3,13.8,20,322,3,1,0.059880239520958,0.0970873786407767,0.072463768115942,4,0.011515430677107308,0.018670649738610903,0.013935340022296539,0.49
42,2022,3,502,13,5.2,10,6,3,17.9,12.1,15.3,18,356,3,1,0.0558659217877095,0.0826446280991735,0.065359477124183,4,0.010743446497636443,0.01589319771137952,0.012569130216189037,0.49
43,2022,3,515,12,2.9,6,12,3,13.0,9.4,11.4,25,267,4,5,0.0769230769230769,0.1063829787234042,0.087719298245614,3,0.026525198938992037,0.0366837857666911,0.030248033877797932,0.66
44,2022,3,516,2,2.9,6,12,3,13.1,9.4,11.4,25,268,4,5,0.0763358778625954,0.1063829787234042,0.087719298245614,3,0.02632271650434324,0.0366837857666911,0.030248033877797932,0.66
45,2022,3,517,10,4.0,8,12,3,16.1,10.7,13.7,21,319,3,3,0.062111801242236,0.0934579439252336,0.072992700729927,4,0.015527950310559,0.0233644859813084,0.01824817518248175,0.49
46,2022,3,518,2,4.0,8,12,3,16.0,10.5,13.5,21,315,3,3,0.0625,0.0952380952380952,0.074074074074074,4,0.015625,0.0238095238095238,0.0185185185185185,0.49
47,2022,3,519,8,4.0,8,12,3,18.0,12.3,15.4,18,360,2,3,0.0555555555555555,0.08130081300813,0.0649350649350649,4,0.013888888888888874,0.0203252032520325,0.016233766233766225,0.32
48,2022,3,549,12,2.0,4,6,3,10.0,7.2,8.8,32,206,6,5,0.1,0.1388888888888889,0.1136363636363636,1,0.05,0.06944444444444445,0.0568181818181818,1.0
49,2022,3,550,0,3.0,6,12,3,11.1,8.0,9.7,29,227,5,5,0.0900900900900901,0.125,0.1030927835051546,3,0.030030030030030033,0.041666666666666664,0.03436426116838487,0.83
50,2022,3,551,12,3.0,6,12,3,11.3,8.4,10.0,28,233,5,5,0.0884955752212389,0.119047619047619,0.1,3,0.0294985250737463,0.039682539682539666,0.03333333333333333,0.83
51,2022,3,552,12,3.0,6,12,3,11.1,8.0,9.7,29,227,5,5,0.0900900900900901,0.125,0.1030927835051546,3,0.030030030030030033,0.041666666666666664,0.03436426116838487,0.83
52,2022,3,553,2,3.0,6,12,3,11.1,8.0,9.7,29,227,5,5,0.0900900900900901,0.125,0.1030927835051546,3,0.030030030030030033,0.041666666666666664,0.03436426116838487,0.83
53,2022,3,554,2,2.9,6,12,3,12.8,8.5,10.9,26,254,5,5,0.078125,0.1176470588235294,0.091743119266055,3,0.026939655172413795,0.04056795131845841,0.03163555836760517,0.83
54,2022,3,557,2,2.9,6,12,3,12.8,8.5,10.9,26,254,5,5,0.078125,0.1176470588235294,0.091743119266055,3,0.026939655172413795,0.04056795131845841,0.03163555836760517,0.83
